stars,comment,title,review_date
5.0,"









  
  
    
  The packaging was really good even for a memory card which one can easily misunderstand for a mobile or similar stuff visuall.However there are a lot of fake ones available so in order to find out which one is real and which is fake check the sides of the memory card.The real ones edges will be white in colour while the fake ones have black coloured edges.Fast data transferring Adapter is include with this card.Pros:-1- The read/write speed of the card through the adapter is around 50/25 mbps.2- The read/write speed of the card through my mobile ZenFone 2 ZE550ML variant with the original cable is around 40/28 mbps well technically it is more than what we get through the original adapter.3- The card really is water proof since I accidentally dropped a glass of water on it and it was still working fine without any problems.4-This card is really fast so fast that I have like 40 movies on my mobile(literally and I am not joking) 10 GB of video songs and a few pictures and stuff and even with only 300 MB of free space the memory card never hangs.5- I usually carry a lot of movies and compressed RAR files I have like roughly 900 files on my memory card right now and I was able to copy around 40 GB of this data using my mobile cable not THROUGH a adapter in 30 minutes give or take 3 minutes from my pc to the card.6- I copied the same data back to my pc using the same setup and was able to copy them all in comically the same amount of time.

  
",Best 64GB Memory Card among all other Brands,11-Dec-17
3.0,"









  
  
    
  The problem with this memory card is highspeed recording. I am using it in my note 8 and when I try to record slowmotion videos, the recording gets stuck instead of being a smooth one. I have used sandisk and transcend memory cards instead of this for the same purpose without any problems. Ofcourse the work around is to record it directly to your phone storage instead of the external card. So it's ok. But do consider the above mentioned point before purchase. For any other work this card is quite good.

  
",Write speed should have been better.,11-Dec-17
1.0,"









  
  
    
  It worked for 3 weeks ( 24 oct to 16th nov)  only in Android cell phone and then on 16th nov it showed message 'SD card damaged'Please help me to exchange this immediately

  
",It worked for 3 weeks ( 24 oct to 16th ...,04-Dec-18
1.0,"









  
  
    
  I am purchasing 04/03/2020....available memories 119gb only........(128gb)

  
",Available memory only 119gb not 128gb,13-Jun-18
5.0,"









  
  
    
  Excellent as I excepted.  Packaging is good. showing 128GB👌 out of 128 GB in Red mi Y2. Writing speed is 30-60mb/sec in my Red mi Y2 which has SD 625 & 3 gb RAM.

  
","Excellent in Red mi Y2 Smart Phone, You will ❤😘 it.",17-Nov-17
1.0,"









  
  
    
  I am using last 5-6 months but now is not working i loss my all data  and no sarvice center in Mysore karnataka even total sarvice center in India only 65  don't buy samsung SD cards

  
",Don't buy samsung sd cards,02-Aug-18
4.0,"









  
  
    
  Beast of a deal! Functionally no issues. Works like a charm. Gives very good read/write speeds in my Redmi Note 4.Though it appears to be of the standard microSD card dimensions, it was not a perfect fit in the Redmi Note 4 tray. I was not able to slot it perfectly onto the tray. However, the tray can be closed despite the ill-fitting card, so am able to use it.Would have given full 5 stars if not for the tolerance issue with slotting-in onto the card tray.

  
",Works like a charm,11-Dec-17
5.0,"









  
  
    
  quite a fast card, using in nintendo switch no lags1. this is U3, faster than U1, 2 and regular C10 cards2. reliable as per other cards in different capacity owned by me3. well packed4. comes with adaptor

  
",Using in nintendo switch,18-Jul-19
4.0,"









  
  
    
  The product from samsung is very good .It gives you good read and write speed . In my test it gave me around 30mb write speed. I have booked this product one from amazon and one from flipkart at the rate of Rs. 500/= on offer period.Both the product are original and good read and write speed.I am happy with my purchase and ordered one more from flipkart because the courier service of flipkart is better than amazon. They always deliver the product at home . But amazon courier boy always left the product here and there and they dont mind to inform us where they left our product and later  We have to search for it asking everyone. Especially this things happen when we order on prepaid. So, I prefer cash on delivery than prepaid. That is the only minus point, otherwise every thing is fine.

  
",Value for money Product.....,06-Oct-17
5.0,"









  
  
    
  Hi what is card like a year ago and it's still working great. I would recommend this card for Samsung phones. I mean if you have a Samsung phone then you should definitely have a Samsung card. they work great together.

  
",The Best for Samsung,17-May-19
1.0,"









  
  
    
  When buying storage solution better buy it from renounce brands, samsung might good for Mobile ,but with storage solution they r worst. Not even last 6 month. Where other SD cards which bought years back working fine without any issue. Biggest issue is heating and at last chip died with all my important data.

  
","No value for money, can't relay on samsung",29-Oct-18
5.0,"









  
  
    
  This SD Card is very good and reliable.I holds around 59.95GB .The adapter is very good in its build quality.I will recommend this SD card for Mobiles and Camera usage.

  
",Good for Price and Quality,10-Apr-18
1.0,"









  
  
    
  The memory card worked fine for 8 months (October 2018- June 2019 ), after which I lost 28 gb data overnight, followed by the remaining 29 gb in the following 2 days (for which I had the foresight to take backup, thank God), and then the card got corrupted. I formatted it on my phone and started using it again, thinking all was well now. Well guess what, I lost all data AGAIN AFTER FORMATTING and the card again being shown ""corrupted"" on my phone. What use is a memory card if I have to take backup of everything I store on it ? If I had to take backup of my storage source (card) everytime I used it, wouldn't i just use the backup source as my primary storage instead ? Horrible product from Samsung that has managed to give me a new level of trust issues. I don't have the time nor energy to pursue the warranty which I'm expecting will turn out to be another scam on Samsung's part. Waste of time, waste of money and a new lesson in life: always take backup, especially while using sh*t products from Samsung.

  
","Deception at its best- corrupted within 8 months, lost important data",27-May-19
1.0,"









  
  
    
  Got the SD card via courier. Tried it on Phone, PC using card reader. It doesnt work. It does not even get detected anywhere. Since I am overseas right now, cant even go to the process of exchange. Really unhappy right now

  
",Its a Fake... SD card does not work,11-Jun-18
4.0,"









  
  
    
  Capacity and working was goodThe packaging was really good even for a memory card which one can easily misunderstand for a mobile or similar stuff visuall.However there are a lot of fake ones available so in order to find out which one is real and which is fake check the sides of the memory card.The real ones edges will be white in colour while the fake ones have black coloured edges.Fast data transferring Adapter is include with this card.Pros:-1- The read/write speed of the card through the adapter is around 50/25 mbps.2- The read/write speed of the card through my mobile ZenFone 2 ZE550ML variant with the original cable is around 40/28 mbps well technically it is more than what we get through the original adapter.3- The card really is water proof since I accidentally dropped a glass of water on it and it was still working fine without any problems.4-This card is really fast so fast that I have like 40 movies on my mobile(literally and I am not joking) 10 GB of video songs and a few pictures and stuff and even with only 300 MB of free space the memory card never hangs.5- I usually carry a lot of movies and compressed RAR files I have like roughly 900 files on my memory card right now and I was able to copy around 40 GB of this data using my mobile cable not THROUGH a adapter in 30 minutes give or take 3 minutes from my pc to the card.6- I copied the same data back to my pc using the same setup and was able to copy them all in comically the same amount of time.160 people found this helpful

  
",Good,03-Jul-19
1.0,"









  
  
    
  It's the second time i got bluffed.Now it got "" Write protected"" itself.Only readable on PC even then can't format or delete anything from it.As stored data is confidential even can't take it to samsung service center.In nutshell,its just samsung's unfair practise to make such product in a way, so innocent customer buy it again & again.Very disappointed !!!!!

  
",Samsung bluff master !!!,11-Dec-17
5.0,"









  
  
    
  This is my fourth Samsung evo microsd and am buying repeatedly since I am confident about quality and performance. I use it for my car dash cam which means it is put to test in the harshest environment continuously and has come out with flying colours so far.

  
",Excellent microsd esp for dash cams,18-Mar-19
5.0,"









  
  
    
  Excellent companion for your phone.This is here is high graded SD card.Most people don't know that there are diff grade levels of speed.It definitely makes a difference if u have apps swapped to it external storage or if u root.

  
",Good Value for money,07-Jan-19
5.0,"









  
  
    
  👉Free up your devices with the largest capacity and highest read/write speeds in Samsung's class, perfect for full HD video - with astonishing performance and reliability, Evo Plus lets you save and treasure the richness of life👉Record and play full HD video - with ultra-fast read and write speeds up to 95mbps and 20mbps respectively, the 32GB Evo Plus lets you transfer a 3GB video to your notebook in just 38 seconds👉Never worry about space again - with massive amounts of storage the 32GB Evo Plus is enough memory for up to 1 hour and 30 minutes of 4K UHD video, 4 hours of full HD video, 7,500 photos or 3,000 songs👉Interface: UHS-I, compatible to HS interface. For products incompatible with UHS-I interface, the speeds may vary subject to different interface conditions👉You can even capture detailed full HD video for any query please contact 1800 3000 8282👉The included SD adapter fits most devices under almost every brand name, while preserving all of Evo Plus's outstanding speed and performance👉Capacity: 32 GB, (1 GB = 1 Billionbyte) * Actual storage capacity may be lower than the labeled capacity. Part of the storage may be used for system files and other storage control purposes.

  
",Excellent one,02-Nov-18
5.0,"









  
  
    
  It has only been a couple of months when I bought this card so can’t comment on durability.  All cards are equally easy to use so here also, nothing can be said about this particular product. As regards last point of storage capacity, when I am buying 64 GB card, it will give me 64 GB storage space so what is so special about it?Anyway, this card is fast enough for my highest quality full HD video being streamed from my video camera or even from DSLR.

  
",Data transfer rate is good and adequate,08-Feb-18
5.0,"









  
  
    
  Both the 64GB memory card and adapter are in good condition. At Rs 699 got a substantial discount the MRP being Rs 1899. Recorded 4K UHD videos on my Asus Zenfone Max Pro M1. Could play it back without any lag. Copied to my old Windows 7 Lenovo Z580 laptop using the adapter in the microSD card slot. Could save the 4K file easily on the laptop. Tried the memory card + adapter in my DSLR Canon 1300 D. Saves pics fast and easy. Don't know whether it could record 4K UHD videos in the card as my DSLR does'nt have that high resolution. But the mobile does. 4KUHS 1 requires 4.2 gb for a 01 hr video and 4K UHD requires around 32 GB for the same duration. The microSD card has been manufactured in the Phillipines and has a 10 yr warranty. But the adapter is of Chinese make and has a warranty of only 01 yr. Edges of the microSD card are white. So its definitely an original Samsung one. It could be a good back up card for even professional photographers.

  
",Genuine. Fabulous discount.,29-Sep-19
5.0,"









  
  
    
  I have both SanDisk ultra and Samsung evo plus purchased on same date . Both in 32 gb variant . Speed test shows 70 Mbps read for Samsung and 56 Mbps for SanDisk ultra and 25 Mbps write for Samsung vs 14 Mbps write for SanDisk .Test done in single mobile device.  Both cards out of the box and nothing stored.  I was a SanDisk fan earlier.  But this changed my mind . Samsung is still leader in memory chip  manufacturing.. be it SSD  RAM  etc.

  
",Better than SanDisk ultra,11-Dec-17
5.0,"









  
  
    
  Thank God it's working fine. Packaging is not perfect like other amazon sellers.I used this 64 gb memory card for my go pro hero 7 black and I have recorded 4k 30ps video on it.

  
",Original product.,20-Sep-19
5.0,"









  
  
    
  I purchased this two months ago. I have not faced any problems with this card while taking photos or shooting videos. I use this card on Samsung S7 Edge.

  
",Its great.,22-May-19
5.0,"









  
  
    
  I have been using it for the last one and half months. It works as expected. speed is very good and I have not noticed any lag whatsoever.The good:● Works as expected● Good value for money (if  you get it with some discount during prime day or lightning deal)The bad:● None!Overall I am very happy with this micro sd card.

  
",Great Micro SD card - Works as expected - Review after 45 days.,25-Jan-19
5.0,"









  
  
    
  Good read and write speed.Connected the 128 GB sd card to the USB 3 port using a USB 3 card reader and copied mp4 and mkv video files to it and the card showed a write speed in between 60 and 66 MB/s.While copying from the SD card to HDD(7200 RPM HDD), the write speed is in between 65 and 75 MB/s. I also tested the 64 GB U3 variant and it showed a write speed in between 55 and 65 MB/s while copying to the card. So in my case, the 128 GB card showed good results. Both the cards seem to be original and I am satisfied with the quality of the products. I had a Samsung 128 GB U1 class Micro Sd card which got corrupted and and did not even last one year. Hope this will  last long.

  
",Good quality product,01-Dec-18
1.0,"









  
  
    
  The chip get corrupted within a month.So if you are planning to make a purchase leave that immediately .Instead buy from your nearby store who gives warranty of more than 4 years .

  
",Waste of money,28-Feb-18
1.0,"









  
  
    
  I have bought this sd card in September 2017 and used in moto g3 as primary storage device. but today morning my phone is not able to detect it. I tried to access it through my laptop but it could not be detected. It seems it is not working and I lost all my data. Please let me know how to recover it?

  
",corrupted after 8 months,18-Jun-18
5.0,"









  
  
    
  Remember that in SD Cards, there are Classes and Grades and UHS I and II and... UGH!  Gets a bit crazy. I think right now Class V90 UHS II are fastest, but really even the UHS I cards are PLENTY fast enough unless you're recording 4K video or you're always copying gigs and gigs regularly... and they're much cheaper too!So... this card was exactly as described.  Comes with bigger SD adapter so you can use in PC or phone/tablet.  Tested it using some free tools and its speed is what it should be.  Of course you don't get the actual advertised capacity in ANY storage device you buy, which is ridiculous, but that's the way it is.Had a couple SanDisk cards and one failed after almost five years (which is not too bad)... thought I'd try Samsung this time since it is so well-rated.I will update my review if things change, but so far I'm happy with this card... have pounded it hard over the past couple days and it's doing great!  Doesn't get hot either.I think you will not be disappointed.  Thanks, and please click ""Helpful"" below...

  
",Great!,02-Feb-19
